word,count
burning,12
can't,12
concern,12
constant,12
disturbing,12
domu,12
embarrassed,12
emotions,12
encouraging,12
exam,12
fiance,12
freezing,12
girl,12
hanging,12
interest,12
issues,12
necessary,12
offended,12
physiotherapist,12
playfully,12
protected,12
ready,12
reason,12
scratchy,12
sex,12
sharing,12
similar,12
specific,12
task,12
unexpected,12
walk,12
admired,11
bond,11
braccio,11
break,11
calmer,11
college,11
con,11
condition,11
confortable,11
depends,11
determined,11
didn't,11
encourage,11
encouraged,11
energy,11
examining,11
expressing,11
guess,11
health,11
heard,11
heart,11
helpful,11
hesitant,11
insecurity,11
laugh,11
lecture,11
meant,11
missed,11
movement,11
negative,11
new,11
nose,11
presence,11
que,11
receive,11
scary,11
sleeping,11
special,11
stabbing,11
story,11
supportive,11
testing,11
textured,11
there's,11
thinking,11
train,11
turn,11
type,11
unsure,11
visiting,11
wrong,11
appointment,10
arousal,10
aunt,10
awake,10
cool,10
dining,10
discussing,10
distract,10
due,10
encouragement,10
end,10
firmly,10
foot,10
headphones,10
inside,10
instructor,10
intended,10
intent,10
intrigued,10
kinda,10
lukewarm,10
morning,10
mother's,10
polite,10
session,10
shy,10
simply,10
speak,10
stroke,10
taken,10
tap,10
therapist's,10
tip,10
tired,10
use,10
words,10
wouldn't,10
young,10
action,9
answer,9
attract,9
barely,9
bothered,9
bring,9
characteristics,9
co,9
coercive,9
company,9
diagnosis,9
disgusted,9
embarrassment,9
emotion,9
environment,9
focusing,9
friendship,9
games,9
given,9
healer,9
hope,9
however,9
idea,9
injury,9
interact,9
jestem,9
jokingly,9
kids,9
laughing,9
letting,9
level,9
listen,9
many,9
often,9
poke,9
pride,9
project,9
queue,9
rapid,9
rest,9
robust,9
rubbery,9
seat,9
seeking,9
several,9
shopping,9
someone's,9
spending,9
started,9
stinging,9
stressful,9
study,9
suddenly,9
surgery,9
swinging,9
taxi,9
that's,9
though,9
thought,9
top,9
una,9
upsetting,9
urgent,9
welcomed,9
younger,9
across,8
adored,8
affect,8
alerting,8
appropriate,8
become,8
boring,8
buy,8
casual,8
certain,8
checks,8
cinema,8
co-worker,8
compassionate,8
concerned,8
depressed,8
disturbed,8
doubt,8
drinks,8
eating,8
enjoy,8
evening,8
every,8
exactly,8
explaining,8
fare,8
fiancee,8
fingers,8
flat,8
forth,8
free,8
grandmother's,8
group,8
harsh,8
humiliation,8
interaction,8
intercourse,8
isn't,8
keeps,8
library,8
lover,8
mad,8
man,8
means,8
muscles,8
na,8
nerves,8
normally,8
older,8
open,8
others,8
outdoors,8
partnerka,8
petting,8
pleasent,8
possible,8
pretty,8
pulse,8
putting,8
random,8
relieving,8
remove,8
respect,8
rubbed,8
sat,8
seated,8
seeing,8
seem,8
silly,8
simple,8
sometimes,8
sore,8
speaking,8
stretching,8
sudden,8
supermarket,8
supposed,8
surprise,8
tests,8
tickle,8
touchy,8
verbs,8
actually,7
amusing,7
anyone,7
applied,7
applying,7
assertive,7
attempting,7
book,7
boss,7
calmly,7
calms,7
chat,7
cheeks,7
collegue,7
contempt,7
cozy,7
create,7
curiousity,7
dad,7
demonstrate,7
desired,7
dirty,7
dropped,7
engaging,7
etc,7
expect,7
failed,7
feet,7
finished,7
flirt,7
forward,7
frustrating,7
goes,7
happen,7
harmless,7
healing,7
helps,7
index,7
information,7
irritation,7
leave,7
localised,7
male,7
matter,7
mildly,7
mind,7
mobile,7
moist,7
moving,7
night,7
nostalgic,7
noticable,7
once,7
past,7
playfull,7
playground,7
prickly,7
relaxation,7
repeated,7
results,7
running,7
rythmic,7
shared,7
sick,7
startled,7
sticky,7
suave,7
suggestive,7
surprising,7
tea,7
thankful,7
therapeutic,7
toddler,7
tortuous,7
vein,7
woman,7
accepted,6
advice,6
aggressively,6
alarmed,6
alerted,6
alive,6
although,6
amazing,6
appreciation,6
assure,6
attack,6
boundaries,6
boy,6
calmed,6
casa,6
cases,6
change,6
cheering,6
cherished,6
cleaning,6
colleagues,6
communicate,6
connecting,6
consent,6
consequential,6
convince,6
deliberately,6
depending,6
described,6
describing,6
despair,6
distant,6
eat,6
embrace,6
encounter,6
ensure,6
experience,6
experiencing,6
favorite,6
film,6
found,6
future,6
goosebumps,6
great,6
grocery,6
hairs,6
hairy,6
half,6
haven't,6
healthcare,6
hearing,6
heavy,6
hit,6
horror,6
hurtful,6
hurting,6
i'll,6
immediately,6
innocent,6
intensive,6
interesting,6
lesson,6
livingroom,6
loss,6
luscious,6
massages,6
masseur,6
match,6
mental,6
mia,6
movements,6
nor,6
odd,6
opinion,6
own,6
period,6
permission,6
pick,6
pinching,6
placid,6
poked,6
preparing,6
present,6
prodding,6
providing,6
provoke,6
quickly,6
quiet,6
receiving,6
required,6
respond,6
resting,6
salon,6
sarcastic,6
scare,6
series,6
serious,6
sexually,6
shame,6
share,6
shift,6
smoothly,6
sooth,6
spa,6
station,6
stiff,6
stimulating,6
supporting,6
technique,6
tingly,6
tree,6
trembling,6
unconfortable,6
uneven,6
unnecessary,6
validated,6
wiggly,6
admiring,5
affectionately,5
affective,5
