Word,Total_Freq,var,video_1,video_2,video_3,video_4,video_5,video_6,video_7,video_8,video_9,video_10,video_11,video_12,video_13,video_14,video_15,video_16,video_17,video_18,video_19,video_20,video_21,video_22,video_23,video_24,videos_3_11_7_19_17_23_9_1_21_5_13_15,videos_16_22_14_12_4_2_10_8_24_6_18_20,videos_16_14_3_4_2_17_6_18_1_5_13_15,videos_22_11_12_7_19_10_8_24_23_9_20_21,videos_16_22_14_19_17_24_18_23_20_21_13_15,videos_3_11_12_7_4_2_10_8_6_9_1_5,videos_14_7_19_2_8_20_1_13,videos_16_22_3_4_10_9_21_15,videos_11_12_17_24_6_18_23_5
romantyczny,4,Betabinom_Hellinger,0.5370255492700983,0.5327075456018279,0.3070035970586988,0.3157764913329428,0.2984860341651757,0.305925376214737,0.2871555702209166,0.3213994776762595,0.3080858026476939,0.3191368158351864,0.5284458002243656,0.3135581165278674,0.5225674112084105,0.3080858026476939,0.3070035970586988,0.2891845183608956,0.3005926245753964,0.3005926245753964,0.3135581165278674,0.2995374729788115,0.2811477951191297,0.3027142125223228,0.3070035970586988,0.3005926245753964,0.2806518444694589,-0.2771983677836988,0.2939152235852784,-0.2932192973708437,-0.321257859159987,0.3166434319295135,0.5047741950304621,-0.337268131194869,-0.0657784936753865
not_close,4,Betabinom_Hellinger,0.5370255492700983,0.3037807240372533,0.3070035970586988,0.3157764913329428,0.2984860341651757,0.305925376214737,0.5192515762743337,0.3213994776762595,0.3080858026476939,0.3191368158351864,0.5284458002243656,0.3135581165278674,0.2912270188473024,0.3080858026476939,0.3070035970586988,0.2891845183608956,0.3005926245753964,0.3005926245753964,0.3135581165278674,0.2995374729788115,0.2811477951191297,0.3027142125223228,0.5352913632588392,0.3005926245753964,0.5729528520189019,-0.5669699997465952,-0.300956772440751,0.3002484399518921,-0.321257859159987,0.3166434319295135,0.2687354250231238,-0.337268131194869,0.265069084513603
work,7,Betabinom_Hellinger,0.4760970764616725,0.242199429175984,0.4737092715486281,0.2567106824206221,0.4642876572730621,0.2447786795748869,0.2224680943464854,0.263578131119269,0.2473838423180139,0.2608100886431067,0.2358628311046318,0.4809138604742329,0.2272534329198832,0.2473838423180139,0.2460780029961505,0.224848673304886,0.2383785144367259,0.4666242349328331,0.254012216931773,0.2371175338840847,0.6083713319896251,0.2409194301252145,0.2460780029961505,0.2383785144367259,0.336414278078023,-0.3324662576821982,0.1161878896005392,-0.115908120594941,-0.15106974121264,0.1488771837092165,-0.2667877671750995,0.2221979435727825,0.2201908288365369
younger,7,Betabinom_Hellinger,0.4760970764616725,0.4701523530204504,0.2460780029961505,0.4833435525651383,0.4642876572730621,0.2447786795748869,0.2224680943464854,0.263578131119269,0.2473838423180139,0.2608100886431067,0.4642876572730621,0.254012216931773,0.2272534329198832,0.2473838423180139,0.2460780029961505,0.224848673304886,0.4666242349328331,0.4666242349328331,0.254012216931773,0.2371175338840847,0.2154702121986016,0.2409194301252145,0.2460780029961505,0.2383785144367259,0.097314476394092,-0.0960806330410288,0.5720497845528121,-0.5709274448571064,-0.3850378599282462,0.3797656920537154,0.0675435939324533,-0.2694644760933701,0.4188626500773891
instructor,7,Betabinom_Hellinger,0.4760970764616725,0.6284386304850624,0.4737092715486281,0.2567106824206221,0.2358628311046318,0.2447786795748869,0.2224680943464854,0.4894829808874354,0.2473838423180139,0.6417154522683529,0.2358628311046318,0.254012216931773,0.2272534329198832,0.2473838423180139,0.2460780029961505,0.224848673304886,0.2383785144367259,0.2383785144367259,0.254012216931773,0.2371175338840847,0.2154702121986016,0.2409194301252145,0.2460780029961505,0.2383785144367259,-0.3800715929831774,0.3757484869164996,0.1161878896005392,-0.115908120594941,-0.7848839094695599,0.7778828779893414,0.4228190732944505,0.2221979435727825,-0.5312414403196717
baby,7,Betabinom_Hellinger,0.4760970764616725,0.242199429175984,0.2460780029961505,0.6388318149527965,0.6237997963597675,0.2447786795748869,0.2224680943464854,0.263578131119269,0.2473838423180139,0.4870157810052329,0.2358628311046318,0.254012216931773,0.2272534329198832,0.2473838423180139,0.2460780029961505,0.224848673304886,0.2383785144367259,0.4666242349328331,0.254012216931773,0.2371175338840847,0.2154702121986016,0.2409194301252145,0.2460780029961505,0.2383785144367259,-0.145791468823109,0.1440335805582228,0.5720497845528121,-0.5709274448571064,-0.5989450271013383,0.5918542219905997,-0.2667877671750995,0.2221979435727825,0.2201908288365369
doctor,82,Betabinom_Hellinger,0.4756137753074618,0.6244126849636081,-0.180544187044558,0.3995601841410261,-0.3551813916941701,0.6309137092520397,-0.3967181227117746,0.310220128327394,0.1670126885135087,-0.2795676373435837,-0.55746575817596,-0.2998050426628513,0.3085492940766738,0.7584632247395101,-0.180544187044558,0.5787073621519794,-0.1972837484947814,0.2362628296103118,-0.5067678686454925,-0.2002701505348346,-0.612062697299773,0.1583622238972409,-0.3238269124077186,0.3431424731321321,-0.9507155222122764,0.9478768092556312,0.9609264461457196,-0.960457648310161,-0.0167135644931294,0.0164456186971159,0.6077606840876016,-0.2481323119054627,-0.3979161142318448
daughter,19,Betabinom_Hellinger,0.4740121494377507,0.2955269364292105,0.1346839125745053,0.3177816662799654,0.4553352920623194,0.2994905910063027,-0.1384174394463242,0.14097225831201,0.1348978777962713,0.3240470689920545,0.4553352920623194,0.3136519922917103,0.1364925149036708,0.3034907005037293,0.1346839125745053,0.4389031801271941,0.2896494206399862,0.4590342333716724,0.1366366668187791,0.1343945155207418,-0.1422683745689208,0.1342638001985693,0.4702396497922889,0.1343094388004625,-0.1166778968763672,0.1153021264833338,0.5103335144139091,-0.509311459512314,-0.2777747145078179,0.2739270111019771,-0.3262046915144561,-0.330265963806804,0.6356425812873736
classmate,11,Betabinom_Hellinger,0.4101556840039086,0.1827717617110576,0.5704810242703157,0.4195062965444157,0.3949510340576124,0.4055460150200242,0.3787274577799469,0.2054762343482977,0.1881263322321481,0.2024517853417448,0.1763864292462073,0.1951225475712972,0.1680355081290581,0.408614387462092,0.4070778477254649,0.1657787369122551,0.1788991228228064,0.3979557929727533,0.1951225475712972,0.396451219033527,0.1573453466752144,0.1814671478178884,0.1867673685908629,0.1788991228228064,0.0711001754110871,-0.0702042010363254,0.6393966516365494,-0.638248588484946,-0.3306248262393902,0.3260661133042898,0.1366460009467036,0.1334747848721894,-0.1059212531701455
nieces,12,Betabinom_Hellinger,0.3954076995213549,0.171445379507327,0.5567199194848035,0.5678497022944458,0.1653610994362445,0.5553432204108323,0.1535084536464059,0.1936692460182061,0.1766137596681214,0.1906681788585871,0.3794774820419943,0.1834412340469898,0.1575683125631158,0.1766137596681214,0.3921815895987933,0.1555019288882288,0.1677439742602904,0.5485052630980435,0.4019228296173024,0.1665439957285932,0.14797520432555,0.1701947658820289,0.1752969546079692,0.1677439742602904,-0.0314562760870137,0.0310868951703715,0.6891703749610335,-0.6880159166235958,-0.4101959254219678,0.4047398140968092,-0.3401042826777385,0.2385771032164224,0.2360733257769713
teacher,12,Betabinom_Hellinger,0.3954076995213549,0.171445379507327,0.3921815895987933,0.1862845014925729,0.5457906307830223,0.5553432204108323,0.3625010782521047,0.1936692460182061,0.5580997464406824,0.1906681788585871,0.1653610994362445,0.565047276233475,0.1575683125631158,0.1766137596681214,0.1752969546079692,0.3655473103832312,0.1677439742602904,0.1677439742602904,0.1834412340469898,0.1665439957285932,0.14797520432555,0.1701947658820289,0.1752969546079692,0.1677439742602904,0.1624081624627269,-0.1604332289577577,0.1857139779184542,-0.18528066216715,-0.8326511832233955,0.8262892449222741,-0.3401042826777385,0.0841021848070298,0.3959421495135178
wife,46,Betabinom_Hellinger,0.3708682262553638,-0.1495844335542789,0.3647983938964361,-0.2825433902112167,0.2080530996235047,0.1482374223669463,0.3093878471759902,0.1488258951473276,0.2314850723798958,0.2603533988857019,-0.331619914066497,-0.2888069865781745,0.444201126481265,0.1472221102413335,0.1476872862995059,0.5453360194444934,-0.1521891719178478,-0.1521891719178478,0.1462331855931859,0.3439019392060549,0.4167237914866665,0.2181428496523423,0.5886925376400999,-0.3256254346130975,0.5275646534331557,-0.5222592090630248,-0.0113170796463311,0.0112911634993748,0.4310783980770437,-0.4254964299499012,0.2087392055295114,0.3795480297395214,-0.5113475690697122
nephew,14,Betabinom_Hellinger,0.3675127644604161,0.5258428071604064,0.1564368256233005,0.3781502396457318,0.5182709389245086,0.362277077900302,0.1393522467265344,0.173168534187189,0.1575848813177497,0.1703452616250028,0.3502664042910132,0.5396908779956205,0.142178142319247,0.1575848813177497,0.5304265709131564,0.1407123065579814,0.3536692133691703,0.1500566657564886,0.1636781913136433,0.1490795494861983,0.1359137652168488,0.3570948978903829,0.1564368256233005,0.1500566657564886,-0.0336388865628557,0.0332439035410992,0.5060661370099194,-0.5050424665943454,-0.5445340170243496,0.5379133752557472,-0.2578680300567278,-0.0988998587903138,0.4209360276739898
